,cafe_name,review,rating
0,책발전소 광교점,분위기는 좋은 것 같음음료는 무난,5
0,책발전소 광교점,,5
0,책발전소 광교점,내 최애 카페😆 커피도 진짜 맛있음!자리가 편하진 않지만 흘러나오는 노래도 너무 좋고향기도 좋고직원들의 서평도 재밌다!나의 독서욕구를 다시 일으켜준 소중한 카페😍,5
0,책발전소 광교점,분위기는 좋지만 책 읽는 공간은 아쉬움,4
0,책발전소 광교점,책 종류가 엄청 많은 것도 아니지만 소소하게 추천해준 책 목록이나 문구들을 볼 수 있어서 좋아요. 앉아 있을만한 카페는 아닙니다. 그냥 문구류나 도서 구입하고 쓱 나오는게 나은 구조.,4
0,책발전소 광교점,커피맛은 영 아니네요4500원짜리 커피500원치 마시다 나옴,3
0,책발전소 광교점,커피 맛은 그냥 그랬으나 힐링공간입니다.,4
0,책발전소 광교점,책이 찾기 쉽게 잘 꾸며진 공간입니다.,5
0,책발전소 광교점,와이파이 못씀 작업하실분들 복불복이니까 참고 그냥 안돼 근데 복불복 개선 없음,2
0,책발전소 광교점,,4
0,책발전소 광교점,,5
0,책발전소 광교점,곳곳에 직원분들이 쓴 띠지로 다정한 책 큐레이션이 가득하고 무엇보다 쿠키 맛집이에요! 날씨가 좋으면 가장 먼저 생각나는 곳 :-),5
0,책발전소 광교점,책도 꽤 있고 소품 등등 구경할 게 많아서 좋긴 한데 커피나 디저트가 맛있진 않네요 그냥저냥입니다특히 밀크티는 밍밍한 맛이라 비추요,3
0,책발전소 광교점,카카오맵 주소 틀렸어요. 네이버 보고 가세요. 이것때문에 한참 헤맴 공간은 좋아요,1
0,책발전소 광교점,집 근처에 이런 곳이 있어서 너무너무 좋아요 :) 자주 방문하고 있습니다!,5
0,책발전소 광교점,"분위기 좋고, 다 맛있음. 다만 슈퍼말차라떼는 말차러버에게도 어색한 쌉싸름이라 다음엔 다른 거 먹을 듯. 쿠키 맛있음 초코가 아주 알참. 구경거리 많고 책도 볼 수 있어서 좋당. 커피는 신맛이 있음",5
0,책발전소 광교점,거진 앨리웨이를 가는 목적 - 언커먼 = 책발전소,4
0,책발전소 광교점,앨리웨이들릴때마다 가는곳,5
0,책발전소 광교점,시간 가는줄 모르는 곳..!,5
0,책발전소 광교점,책 종류가 생각보다 많아서 둘러보러가기 좋아요 공간도 생각보다 넓어요,3
0,책발전소 광교점,쿠키 맛있어요!책도 생각보다 다양하고 분위기도 좋네요,5
0,책발전소 광교점,,2
0,책발전소 광교점,책방+카페인데 댄스음악이 엄청난 볼륨으로 계속 나와서 머리가 너무 아팠어요.. 공간 컨셉에 맞게 플레이리스트와 볼륨에 더 신경써주셨으면 합니다.,3
0,책발전소 광교점,책 분류 잘해놓고 쿠키 맛있습니다. 굿즈도 예쁜거 많아요,5
0,책발전소 광교점,,5
0,책발전소 광교점,생각보다 더 좋네요음악소리는 좀 큰듯,5
0,책발전소 광교점,다 좋았어요,4
0,책발전소 광교점,분위기 좋아요,5
0,책발전소 광교점,"책 진열도, 구성도 깔끔하고 세련됐어요:) 밀크티도 맛있었습니다~",5
0,책발전소 광교점,책 고르기 쉽게 사장님 남편분께서 세심하게 적어놓은 글귀가 참 좋네요.근데 시간 떼우려 추위 피하려 들어와 음료 하나 안시키고 자리에 앉아 핸드폰만 하시다가 가는 분들은 뭔지..,5
0,책발전소 광교점,,5
0,책발전소 광교점,,5
0,책발전소 광교점,두고두고 가고싶어요,5
0,책발전소 광교점,쾌적 갑입니다요 나 왜 광교사람 아니지 ㅠㅜ,5
0,책발전소 광교점,,4
0,책발전소 광교점,다 좋다. 자리만 차지하고 앉아서 수다 떠는 아줌마들만 없으면. 엘리웨이 도처에 널린 게 카페인데 메뉴 하나 안 시키고 '무더위 쉼터'처럼 죽치고 앉아서 수다만 떤다. 책 읽는 사람들은 아랑곳하지 않고.,3
0,책발전소 광교점,"너무 행복한 시간 보내다 가요!! 카페음악 선정도 너무 좋고, 이번에 입구에 새로 꾸며놓은 노란 꽃 데코도 정말 예뻐요.",5
0,책발전소 광교점,"책 큐레이팅이 너무 좋아요~ 대형서점처럼 신간, 베스트셀러 위주가 아닌 내용이 정말 좋은 책, 묻히기 아까운책이 메인으로 진열되는 점이 좋습니다. 갈때마다 힐링하고 옵니다",5
0,책발전소 광교점,커피가 싼편은 아닌데 가끔 가기 좋아요,4
0,책발전소 광교점,아늑하구 따뜻하고 좋았어요,5
0,책발전소 광교점,커피는 드시지마시고 책만 구경하세욤ㅎㅎ책이랑 문구랑해서 구경할 거리는 참 많아요!커피는 탄맛이 강했어요.,3
0,책발전소 광교점,very brusque shopgirl.....,1
0,책발전소 광교점,대박!!! 이렇게 좋은 곳이~~~ (^^)/,5
0,책발전소 광교점,Book Café by 오 상진 & 김 소영 Also in Weerye,3
0,커피 바이브,라떼피크 넘 맛나요,5
0,커피 바이브,,5
0,커피 바이브,분위기 커피맛 서비스 모두 만족,5
0,커피 바이브,내부 작긴한데 야외 좌석이 좋아요땅콩크림 그 시그니쳐는 그닥 제 취향은 아닌 듯...다만 비엔나커피나 라떼는 맛잇습니다친절하시고 좋아요나쁘지는 않으나 저에겐 좁은 좌석과 내부 때문에답답한 느낌도 들고 편안하게 대화하긴 좀어렵게 느껴지네요,3
0,커피 바이브,우리동네 최애 카페,4
0,커피 바이브,땅콩크림커피? 맛있어요! 그리고 직원분들 모두 너무 친절해요,4
0,커피 바이브,"항상 커피 맛있고 직원분들도 친절하시고 좋음,, 다만 유일한 단점은.. 내부가 너무 좁다는 거ㅠㅠ",5
0,커피 바이브,이름대로 커피 마시기 좋은 바이브이고 광교에서 원탑입니다!!!,5
0,커피 바이브,너무 맛있어요 광교호수공원 최 애 커피맛집이에요 ♥,5
0,커피 바이브,참말로 맛있어요 ㅠㅠ,5
0,커피 바이브,커피 너무 맛있어요자주 가지는 못해도 갈때마다 두잔 기본이네요,5
0,커피 바이브,커피가 맛있습니다바깥 테이블도 있어서 잠시 커피마시고 가기에 괜찮습니다시그니처 메뉴도 특이해서 괜찮고싱글 오리진 원두가 보통 가게에서 쓰지않는 원두라서 좋았습니다 만약에 주기적으로 원두가 바뀐다면자주가고 싶네요추천합니다,5
0,커피 바이브,커피가 맛있어서 좁지만 갑니다,5
0,커피 바이브,"아인슈페너, 비엔나커피! 제가 먹어본 크림중에 가장 쫀득쫀득하고 맛있어요다음엔 다른 커피도 먹어볼게요!!",5
0,커피 바이브,,4
0,커피 바이브,커피가 괜찮고 자리는 좀 좁아서 아쉬움,4
0,커피 바이브,분위기 좋아요 ㅎㅎ,4
0,커피 바이브,,5
0,커피 바이브,라떼피크 넘 맛있네여 ㅎㅎ,5
0,커피 바이브,,5
0,커피 바이브,,5
0,커피 바이브,친구와 함께 라떼 피크를 마셨어요. 너무 맛있어요.,5
0,커피 바이브,정말 정성이 느껴집니다,4
0,커피 바이브,,5
0,커피 바이브,커피맛 린덩◡̈ 맛있어욘,5
0,커피 바이브,작은가게에 손님이 많아서 놀랐는데 마셔보니 이유를 알겠네요. 커피맛집입니다. 비엔나랑 플랫화이트 둘다 너무 꼬소하고 맛있어요,5
0,커피 바이브,라떼피크 엄청 고소하고 맛있어요친절하시고 또 가고 싶은 맛입니다,5
0,커피 바이브,커피 진짜 맛있고 사장님도 친절하세요.,5
0,커피 바이브,정성과 진심이 느껴지는 커피 맛입니다. 커피 종류에 대해 설명도 잘해주십니다,5
0,커피 바이브,광교호수공원앞 힙하고 꼬소한 라떼를 찾으신다면 여기로..,4
0,커피 바이브,카페 예쁘고 음료도 맛있고 친절하세요 :),5
0,커피 바이브,광교에서 커피 젤 잘하는집,5
0,커피 바이브,맛있어요!!!!!! 사장님 능력자!!,5
0,커피 바이브,카페가 작지만 이뻤어요 ~ ! 커피 마시고 호수공원 걷기 좋아용,5
0,커피 바이브,조용한 분위기 맛도 괜찮고 친절,4
0,커피 바이브,깔끔하고 친절하셨다,4
0,커피 바이브,"커피맛 인테리어 깔끔, 친절함!",4
0,카페드단아한 광교본점,런치메뉴 먹으면 가성비가 내려요. 제 값에 먹기엔 다른 브런치가게보다 양이 적음. 일찍 열어서 모임하기 좋음.,3
0,카페드단아한 광교본점,샐러드와 베네딕트를 주문했는데 베네딕트는 걍 그럭저럭.. 근데 샐러드는 무슨 소금 퍼먹는 줄 알았어요. 로메인을 아예 씻어서 다시 만들어야 하는 수준이더라고요. 상추를 더 받으려고 들어갔더니 요리를 알바생들이 하던데.. 돈이 너무 아까웠습니다.,2
0,카페드단아한 광교본점,이 집에서 제일 맛있는건 로제파스타에 곁들여 나온 마늘빵조각뿐….ㅠ,1
0,카페드단아한 광교본점,굿,3
0,카페드단아한 광교본점,아아 테이크아웃했는데 얼음 다녹고 커피가 맛없어요,1
0,카페드단아한 광교본점,너무 불친절…,1
0,카페드단아한 광교본점,짱 맛있어요ㅎㅎ,5
0,카페드단아한 광교본점,가격은 비싼거에비해 맛은 평범. 손님도없는데  늦게나와서 짜증남.,1
0,카페드단아한 광교본점,다들 리뷰에서 맛잇다고 하셨던 아보카도 프리미엄? 맞나? ㅜㅜ 이거 시키고 크림파스타시켰는데 역시나! 맛있네요 ㅎㅎㅎㅎ 차타고 30분 왔는데 카페 분위기도 좋고 ^^ 먹고 근처 갤러리아 갔어용 ㅎ 근데 아보카도 요건 생각보다 양이 많아서 남겼구요 쬐애애꼼 느끼하더라구요~ 그래도 맛있음!!^^,4
0,카페드단아한 광교본점,The salad was really good.,5
0,카페드단아한 광교본점,친절하고 맛있었습니다!10년전 엔티크가 생각날정도네요,5
0,카페드단아한 광교본점,괜찮은거같아요,4
0,카페드단아한 광교본점,보통이에요,3
0,카페드단아한 광교본점,별점 다 알바인지남직원 눈흘기고 불친절하고 ㅜ기대 많이했는데 맛없어요..특히 미트볼파스타 미트볼에 딱딱한거 있고 ㅠ 비추입니다ㅜ,2
0,카페드단아한 광교본점,가성비 좋고 맛있어요!!!,5
0,카페드단아한 광교본점,아보카도랑 커피가 맛있음,5
0,카페드단아한 광교본점,Brunch,3
0,카페드단아한 광교본점,,2
0,카페드단아한 광교본점,,5
0,카페드단아한 광교본점,엄청 친절해요! 손님이 요구하지 않아도 먼저 배려해주어서 감동였어요~,5
0,카페드단아한 광교본점,,5
0,카페드단아한 광교본점,맛있고 친절해요,5
0,블레스롤 광교카페거리점,케익가격이 살짝 사악하지만 맛있으니 OK분위기 좋고 친절하고 자리가 많아 좋음,5
0,블레스롤 광교카페거리점,오랜만에 갔는데 전에 느끼지 못한 친절함에 살짝 어색했는데 점주분이 바뀌셨네용! 인사도 밝게 해주시고 메뉴 설명도 친절히 해주셔서 정말 기분좋게 잘 먹구 갑니다😁,5
0,블레스롤 광교카페거리점,"점주가 바뀌셨군요. 점주님이 바뀌셨다니 조만간 재방문해보고 리뷰를 다시 남기겠습니다.몇년 전 학생 시절 아르바이트 지원서를 받고는 합불 연락도 주지 않아서 되게 열심히 써낸 이력서가 민망했던 기억이 납니다. 그래서 왜 연락을 주지 않는지 여쭤보니 답도 민망하게 왔어서.. 어떤 가게인가 궁금해서 친구들이랑 갔었습니다.그때는 가게 위생도 별로고 맛도 해동되다만 느낌이었고, 재방문시에도 상태가 똑같았어서 이후 더 방문 하지는 않았는데, 점주님도 바뀌셨으니 맛있고 청결하면 좋겠습니다. 기대하고 가보겠습니다. 화이팅!!",5
0,블레스롤 광교카페거리점,22년 4월 새로운 점주 인사드립니다친절하고 깨끗하고 맛있는멋스러운 카페로 기억속 남길수 있도록 하겠습니다입안의 축복 프리미엄 디저트카페 카페블레스롤 광교카페거리점 이용해주시면 친절하게 모시겠습니다,5
0,블레스롤 광교카페거리점,,5
0,블레스롤 광교카페거리점,분위기도 좋고 케잌도 특색있어서 좋아요!,5
0,블레스롤 광교카페거리점,분위기가 좋고 롤이 넘 맛있어서 항상 먹어염광교가면 자주가는 카페,5
0,블레스롤 광교카페거리점,롤케이크 전문점이라 해서 음료는 기대 안 했는데맛있고 메뉴가 많아요,5
0,블레스롤 광교카페거리점,,5
0,블레스롤 광교카페거리점,,5
0,블레스롤 광교카페거리점,,5
0,블레스롤 광교카페거리점,알바생이 친절하시고 스무디가 맛있어요! 가끔씩 롤케익이 생각날때마다 들리는데 예전보다 데코도 예뻐지고 맛도 좋아진느낌임ㅎㅎ 내픽존맛은 초코아이스크림이랑 딸기스무디,5
0,블레스롤 광교카페거리점,,5
0,블레스롤 광교카페거리점,하트롤 짱!,5
0,블레스롤 광교카페거리점,밀크티라떼 맛집,5
0,블레스롤 광교카페거리점,친절하셨어요,5
0,블레스롤 광교카페거리점,"근처 카페들 둘러보며 어디갈까 고민하다 들어왔는데, 커피 진심 찐 맛있어요!!!!!!",5
0,블레스롤 광교카페거리점,아이스크림이 맛있어요,5
0,블레스롤 광교카페거리점,마카롱파르페가 조금실망.마카롱이 아까우셨나봄.초코첵스와 오레오만 많음.나중엔 첵스만 남음.내가 마카롱파르페를 먹으러 온건지첵스를 먹으러 온 건지...쿠크다스 소프트콘은 만족.5점만점에 2.5점.2.5점도 소프트콘때문에 주는 점수,2
0,블레스롤 광교카페거리점,,2
0,블레스롤 광교카페거리점,,4
0,블레스롤 광교카페거리점,,3
0,블레스롤 광교카페거리점,Coffee & Roll,3
0,블레스롤 광교카페거리점,아메리카노가 2가지 맛인데 꽤 괜찮고 양도 많아요. 광교까페거리가 커피값이 전반적으로 넘 비싸던데 합리적이었습니다. 롤케잌은 생긴건 화려해보여서 먹고싶단 생각안들었는데 한번 먹어보니 꽤 맛있었어요. 얼려먹어도 맛있어서 몇번 선물용으로 구매했어요. 근데 가격이 넘 비싸요.. ㅠㅠ,4
0,블레스롤 광교카페거리점,,3
0,프로마쥬블랑,남자사장이 너무 불친절한데 케이크가 맛있어서 짜증나는 곳. 들어가서 주문할 때마다 진짜 다신 안와야지 하는데 케이크 한입 먹으면 아 진짜 짜증나. 또 와야하나…근데 그 사장은 왜그렇게 불친절하고 매사에 화가 나 있어요? 진짜 이해불가.. 장사가 안될때도 화가 나 있더니 장사가 잘될때도 변함없이 불친절..,3
0,프로마쥬블랑,알바가 냉냉하다는 평가가있지만포장하는 사람들에게 일일이어떻게 보관해야하는지 알려주셨고자기들이 만들만큼만 빵만드는 것으로 보였음친구가 주문시에 미리 포장주문 요청했던바스크 치즈케이크를 미리 말하지 않아도 냉장 보관해주시는 걸 보면서 일단 좋아보였음빵이 탔는데도 그대로 진열해두고 판매하는거보단 나아보임...( 잘되는빵집들.. 가끔이러면 황당함..)지금 빵집 잘되는데 자신들이 할수 있을만큼 앞으로도 맛에대한 지금마음 잘 유지할 수 있게 해줬으면함,5
0,프로마쥬블랑,티라미슈 밖에 안 남아서 먹어봤는데 확실히 기본에 충실해서 만든 맛이더라고요. (가격은 조그음 비싼거 같기도 하고 한국 마스카포네 치즈 가격을 생각하면 맞는거 같기도하고...) 담에 가서 다른 케이크도 먹어보고 싶네요.,4
0,프로마쥬블랑,자리가 있는데도 음식을 먹지 않고 나온적은 처음이네요...ㅠㅠ와이프가 추천해서 갔는데두명자리에 네명이 앉았더니다른사람 다니기 불편하다고 두명씩 따로 앉으라고 하네요공간이 없는 것도 아닌데...자리를 셋팅해주지는 못할 망정우리가 의자 가져다 앉는 것도못마땅하다는 듯 대하는 태도가 너무 불쾌해서 그냥 나왔네요...맛이 어떤지 모르겠지만 TV에 나왔다고이렇게 손님을 가려 받는 듯한 느낌을 주다니살면서 이런 곳이 주목받는 건 참을 수가 없네요.,1
0,프로마쥬블랑,토밥에 나와서 기대하고 갔는데 거의 다 팔렸어요.. 단호박 바스크랑 프레지에 먹었는데 가격 대비 별로고 음료도 맛 없네요...ㅠ 좀 돈 아까웠어요..,3
0,프로마쥬블랑,쏘쏘,4
0,프로마쥬블랑,불친절해서 안가게됨.. 맛도 그냥 그래요,2
0,프로마쥬블랑,"자몽스퀴시 맛있어요,,,",5
0,프로마쥬블랑,티라미수 보단 크로플이 더 맛있어용,4
0,프로마쥬블랑,티라미수 맛집,5
0,프로마쥬블랑,빙수맛집 크로플맛집 티라미수 존맛탱 수원 신동 최고의까페!!!,5
0,프로마쥬블랑,음식은 맛있는데 일하는사람들 개불친절,1
0,프로마쥬블랑,위생에 좀 더 신경쓰시길 바랍니다. 핸드폰 만지고 머리 긁다가 커피 내리고케익 접시 위로 손가락 닿고 서버는 손잡이가 아닌 음식물 닿는 쪽으로 씻지 않은 손으로 잡아서 불결한 느낌,1
0,프로마쥬블랑,분위기 좋습니다. - 카이스트치과의원 올림,5
0,프로마쥬블랑,,5
0,프로마쥬블랑,,4
0,프로마쥬블랑,인생티라미수집,5
0,프로마쥬블랑,티라미수가 유명하던데 저는 치즈케이크가 더 맛있었습니다. 꽝꽝 얼어서 나오지만요 ^^;,4
0,프로마쥬블랑,까눌레 맛있어요,5
0,프로마쥬블랑,리뷰에 딸기롤케이크가 있어서 찾아갔는데 제가 갔을때는 없었어요. 그래서 까늘레랑 휘낭시에 먹었는데 휘낭시에 진짜 너무 맛있는거 아닙니까;; 매장크기는 크지 않고 가게안에 매우 귀염뽀짝한 리트리버가 있어요. 동물냄새가 난다고 느껴지지 않은거보면 제가 둔하거나 관리를 잘하셨거나 둘중 하나입니다. 전반적으로 청결한거보면 관리를 잘하신거같아요ㅎㅎ 음료 양도 많았고 음악이 조용한 BGM처럼 나와서 좀 쳐졌지만 좋았습니다. 왜냐면 휘낭시에가 맛있기때문이죠. 두번사드세요..,4
0,프로마쥬블랑,커피하고 디저트가 맛좋습니다!!,4
0,벤더룰스,흑임자 파운드 맛있는데...왜이케 작아...ㅜㅜ,4
0,벤더룰스,"티라미수 하나만 보고 갔는데, 와! 한 입 넣는 순간 크림의 시원함이! 왜 리뷰들이 티라미수 맛있다고 했는지 바로 이해했어요. 포장으로 주문했던지라 버스 기다릴 동안 잠시 앉아서 반 정도만 먹자는 마음이었는데 먹다보니 금세 다 먹어버렸습니다. 커피도 따로 안 시켰는데 더운 날 아기랑 갔었기 때문인지 사장님께서 얼음물까지 따로 내주셨어요. 감사합니다",5
0,벤더룰스,티라미수 너무 맛있고 분위기도 좋네요자리마다 콘센트가 있어서 사장님 센스가 좋다고 생각했어요. 공부할만한 자리와 쉴자리 둘 다 있어서 좋습니다!! 자주갈거 같아요,5
0,벤더룰스,안경쓴 직원분이 달달했고 티라미수랑 음료수가 친절해써요 : ),5
0,벤더룰스,"티라미수 정말 맛있고 크리미라떼 정말 좋아하던 곳이었는데,,, 사장님이 바뀌셨는지 노래도 웬 마더뻐커 하는 집중하기 힘든 음악들만 나오고 감성이 뭔가 변했어요….ㅠ 속상합니다",3
0,벤더룰스,라떼가 맛잇어염 츄릅,5
0,벤더룰스,분위기 좋고 깔끔하고 라떼도 맛있어요,5
0,벤더룰스,블랙블랙하네요,5
0,벤더룰스,매장 분위기도 넘 좋고 사장님도 친절해요! 티라미슈  존맛탱,5
0,벤더룰스,최고 :),5
0,벤더룰스,인생 티라미수에여ㅠㅠㅠㅠㅠ 젊은 사장님? 직원분도 열심히 하셔서 보기좋은곳ㅋㅋ 티라미수 먹으러 또 갈게요!,5
0,벤더룰스,애기가 여기 티라미스만 먹어요 저랑 와이프는 콜드브루에 빠져버렸네요 jmt,5
0,벤더룰스,티라미수 인생맛집!!,5
0,벤더룰스,남직원인지 사장님인지 좀 불친절하고 매장이 너무 어두운데 스탠드 불빛이 탁자 가운데 쨍해서 눈아프고 노래 소리 너무 시끄러움. 음료랑 디저트는 맛있음,3
0,벤더룰스,,5
0,벤더룰스,다 좋은 데 노래 소리 너무 큽니다 작업은 물론 대화할 때도 묻혀요,4
0,벤더룰스,Dessert,3
0,벤더룰스,동네에 우연히 찾아서 갔는데 분위기도 이쁘고 기본 티라미수케이크 jmt 여러번 더 갈 것 같습니다,4
0,벤더룰스,크림라떼 너무 맛있어요 크림이 안녹고 쫀쫀해서 좋네요 인테리어도 넘나 제 취향 근데 음악소리 조금만 줄여주셨으면 좋겠어요ㅠ제 일에 집중이 어렵더라구용...,5
0,벤더룰스,,5
0,벤더룰스,공간이 작은 것에 비해 스피커 소리가 너무 크긴 해요 하지만 커피도 맛있고 스무디 종류도 맛있어서 자주 갔어요!,5
0,벤더룰스,점심마다 가는곳. 분위기 힙해서 좋음. 커피맛 좋고,5
0,벤더룰스,분위기가 정말 좋아요 :-) 별점이 왜이리 낮은지.. 제가 다 속상하네요 ㅜ조용하고 커피도 맛있고 노래들으며 휴식하기 짱이네요 크림커피 강추입니당 크림이 달지않고 쫀쫀하니 짱이에요 추천추천추천드립니당,5
0,벤더룰스,,5
0,벤더룰스,디저트를 카페에서 직접 만드시는 것 같더라구요!흑임자 파운드가 특히 맛있었어용☺️테이블 간격도 널찍널찍해서 카페 분위기가 전체적으로 쾌적합니다 ㅎ직원분도 넘 친절해서 기분좋게 다녀왔어용,5
0,벤더룰스,"별점테러 뭐징 친절하시고 맛있고 분위기도 좋구 넘 좋은디용,,,,,,,,",5
0,벤더룰스,맛있어요. 불친절이란 말은 어디서 나오는지 모르겠네요..,5
0,벤더룰스,스모어딥먹고싶어서 갔는데 분위기도 좋고 맛도 좋아요. 사장님 불친절은 잘모르겠습니다. 저희는 괜찮았습니다.,4
0,벤더룰스,난 좋던데...,5
